code,dealerId,name,url,regionId,state,lat,long
42292,42292,Lithia Toyota of Abilene,https://www.toyotaabilene.com,60,TX,32.407797,-99.781475
42309,42309,Toyota of Midland,https://www.toyotaofmidland.com,60,TX,31.989633,-102.150182
42290,42290,Lithia Toyota of Odessa,https://www.odessatoyota.com,60,TX,31.901575,-102.336108
35011,35011,Doenges Toyota,https://www.doengestoyota.com,60,OK,36.722952,-95.935925
35072,35072,Jim Norton Toyota of Oklahoma City,https://www.jimnortontoyotaokc.com,60,OK,35.569733,-97.663893
35075,35075,Post Oak Toyota,https://www.postoaktoyota.com,60,OK,35.442063,-97.41986
35055,35055,Bob Howard Toyota,https://www.bobhowardtoyota.com,60,OK,35.60119,-97.49668
35025,35025,Fowler Toyota,https://www.fowlertoyota.com,60,OK,35.26835,-97.48708
35052,35052,Janzen Toyota,https://www.janzentoyota.com,60,OK,36.116894,-97.125543
35065,35065,Toyota of Ardmore,https://www.toyotaofardmore.com,60,OK,34.180779,-97.1655
35048,35048,Northcutt Toyota,https://www.northcutttoyota.com,60,OK,36.39007,-97.92097
35071,35071,Fowler Toyota of Tulsa,https://www.fowlertoyotatulsa.com,60,OK,36.114659,-95.90042
35049,35049,Jim Norton Toyota,https://www.jimnortontoyota.com,60,OK,36.02105,-95.88569
35061,35061,James Hodge Toyota,https://www.hodgetoyota.com,60,OK,35.77046,-95.390872
24076,24076,Frank Fletcher Toyota,https://www.fletcher-toyota.com,23,MO,37.065804,-94.477639
03050,03050,J. Pauley Toyota,https://www.jpauleytoyota.com,60,AR,35.323328,-94.396463
42339,42339,Classic Toyota of Texoma,https://www.classictoyotatexoma.com,60,TX,33.774142,-96.582528
03058,03058,Trotter Toyota,https://www.trottertoyota.com,60,AR,34.205521,-91.970012
03049,03049,Ryburn Toyota,https://www.ryburntoyota.com,60,AR,33.626689,-91.803016
03072,03072,Steve Landers Toyota,https://www.stevelanderstoyota.com,60,AR,34.71116,-92.399489
03074,03074,Mark McLarty Toyota,https://www.markmclartytoyota.com,60,AR,34.796997,-92.217703
03052,03052,"Teague Chevrolet Toyota, Inc.",https://www.teaguetoyota.com,60,AR,33.208117,-92.686146
03065,03065,Gregg Orr Toyota,https://www.orrtoyota.com,60,AR,34.445749,-93.089124
03053,03053,"Phil Wright Toyota, Co.",https://www.philwrighttoyota.com,60,AR,35.276732,-93.09056
03068,03068,Caldwell Toyota,https://www.caldwell-toyota.com,60,AR,35.058817,-92.418366
03075,03075,Red River Toyota,https://www.redrivertoyota.com,60,AR,35.24569,-90.782425
03069,03069,Orr Toyota,https://www.orrtoyotaofsearcy.com,60,AR,35.232014,-91.707216
03067,03067,Central Toyota,https://www.centraltoyota.com,60,AR,35.801135,-90.67033
23079,23079,Principle Toyota of Hernando,https://www.principletoyotaofhernando.com,60,MS,34.818872,-89.972853
